"id","name","summary_type"
"elecciones.abstention_group","ABS (RIN)","Rinconada"
"elecciones.abstention_prov_group","ABS (SEV)","Provincia"
"elecciones.abstention_aut_group","ABS (AND)","Andalucía"
"__export__.party_group_4_417b3184","IT (RIN)","Rinconada"
"__export__.party_group_5_cc5dfb5c","IA (RIN)","Rinconada"
"__export__.party_group_6_b4fb739f","DER (RIN)","Rinconada"
"__export__.party_group_7_b70149f0","IT (SEV)","Provincia"
"__export__.party_group_8_d27e8cef","IT (AND)","Andalucía"
"__export__.party_group_9_74721725","IA (SEV)","Provincia"
"__export__.party_group_10_3f9c9f50","IA (AND)","Andalucía"
"__export__.party_group_11_12c7dab7","DER (SEV)","Provincia"
"__export__.party_group_12_4a3a57b7","DER (AND)","Andalucía"
