"id","start_year","end_year","start_month","end_month","election_type","census","votes","blank_votes","null_votes","valid_votes"
"__export__.legislature_25_46c3896c","1977","0","6","5","Congreso","9540","7684","4","60","7680"
"__export__.legislature_26_b6012d91","1979","0","3","5","Congreso","11282","8410","10","42","8400"
"__export__.legislature_27_d6706a7a","1982","0","10","5","Congreso","11561","9133","17","97","9116"
"__export__.legislature_28_c8650d28","1986","0","6","5","Congreso","13131","9279","14","84","9265"
"__export__.legislature_29_366442c5","1989","0","10","5","Congreso","13927","9928","45","53","9883"
"__export__.legislature_30_4656757b","1993","0","6","5","Congreso","15319","11955","55","49","11900"
"__export__.legislature_31_7437e0a4","1996","0","3","5","Congreso","18471","14602","130","73","14472"
"__export__.legislature_32_0a1f71ff","2000","0","3","5","Congreso","21758","14390","184","76","14206"
"__export__.legislature_33_8e6deb1c","2004","0","3","5","Congreso","23990","18361","239","91","18122"
"__export__.legislature_34_b9a1906f","2008","0","3","5","Congreso","26487","19212","240","104","18972"
"__export__.legislature_35_118e0c04","2011","0","11","5","Congreso","28121","19785","275","242","19510"
"__export__.legislature_36_b3a0e4d4","2015","0","12","5","Congreso","29164","21410","218","221","21192"
"__export__.legislature_37_b76de3ab","2016","0","6","5","Congreso","29189","20015","196","190","19819"
"__export__.legislature_38_a2bf1a58","2019","0","4","5","Congreso","29840","22465","228","354","22237"
"__export__.legislature_39_8b33fe4a","2019","0","11","5","Congreso","30061","21059","331","429","20728"
"__export__.legislature_58_8c4782a3","1987","1991","5","5","Municipales","13133","8322","54","96","8226"
"__export__.legislature_59_bf041241","1991","1995","5","5","Municipales","14480","8612","65","22","8590"
"__export__.legislature_60_827ef9ae","1995","1999","5","5","Municipales","17887","11948","114","36","11912"
"__export__.legislature_61_767f89f2","1999","2003","5","5","Municipales","21623","12640","178","61","12579"
"__export__.legislature_62_c09d7bc1","2003","2007","5","5","Municipales","23643","14209","191","53","14156"
"__export__.legislature_63_5a5936a0","2007","2011","5","5","Municipales","26356","14280","255","58","14222"
"__export__.legislature_64_e2b172cc","2011","2015","5","5","Municipales","27976","16478","379","212","16266"
"__export__.legislature_65_b2a34a33","2015","2019","5","5","Municipales","29116","16400","261","156","16244"
"__export__.legislature_66_5e0913ea","2019","2023","5","5","Municipales","29892","17490","120","139","17351"
"__export__.legislature_67_b12f3515","2023","2027","5","5","Municipales","31294","17492","262","272","17220"
"__export__.legislature_68_2962c00f","1979","1983","5","5","Municipales","11309","7899","0","72","7827"
"__export__.legislature_69_439e1836","1983","1987","5","5","Municipales","11942","7869","0","0","7869"
