"id","legislature_id","party_group_id","party_id","percentage","votes"
"__export__.plain_result_abs_party_2976_54bffa2c","","IA (RIN)","AET","0.18229166666666666","14"
"__export__.plain_result_abs_party_2977_5c4ac252","","DER (RIN)","AN18","0.13020833333333331","10"
"__export__.plain_result_abs_party_2978_dc92b4ea","","DER (RIN)","AP","1.5494791666666667","119"
"__export__.plain_result_abs_party_2979_aebf76cf","","DER (RIN)","ASDCI","0.3515625","27"
"__export__.plain_result_abs_party_2980_729aff0a","","DER (RIN)","FDC-EDC","0.32552083333333337","25"
"__export__.plain_result_abs_party_2981_fc93430c","","IT (RIN)","FDI","0.546875","42"
"__export__.plain_result_abs_party_2982_26b69509","","IA (RIN)","FUT","0.2734375","21"
"__export__.plain_result_abs_party_2983_1bc3a963","","IT (RIN)","MSA","0.22135416666666666","17"
"__export__.plain_result_abs_party_2984_9fcb5a5b","","IA (RIN)","PCE","27.682291666666664","2126"
"__export__.plain_result_abs_party_2985_a39a8421","","IT (RIN)","PSOE","49.21915668922436","3786"
"__export__.plain_result_abs_party_2986_b2b2c1c9","","DER (RIN)","PSP-US","1.7708333333333333","136"
"__export__.plain_result_abs_party_2987_3e672e46","","DER (RIN)","RSE","0.14322916666666666","11"
"__export__.plain_result_abs_party_2988_9154ffb6","","DER (RIN)","UCD","17.3828125","1335"
"__export__.plain_result_abs_party_2989_f603e451","","IT (RIN)","URA","0.1953125","15"
"__export__.plain_result_abs_party_2991_cf2d4ae7","","DER (RIN)","CD","1.2619047619047619","106"
"__export__.plain_result_abs_party_2992_f8173f8c","","DER (RIN)","FJONSA","0.03571428571428571","3"
"__export__.plain_result_abs_party_2993_13da43b1","","IA (RIN)","IR","0.03571428571428571","3"
"__export__.plain_result_abs_party_2994_f381018f","","IA (RIN)","LCR","0.05952380952380953","5"
"__export__.plain_result_abs_party_2995_5fc9a1be","","IA (RIN)","MC-OIC","0.05952380952380953","5"
"__export__.plain_result_abs_party_2996_ef944313","","IA (RIN)","OCE-BR","0.2976190476190476","25"
"__export__.plain_result_abs_party_2997_bb4acc8f","","IA (RIN)","ORT","0.05952380952380953","5"
"__export__.plain_result_abs_party_2998_42d1dc70","","IA (RIN)","PCE","34.10714285714286","2865"
"__export__.plain_result_abs_party_2999_31082fe7","","IA (RIN)","PCT","0.11904761904761905","10"
"__export__.plain_result_abs_party_3000_6d34e398","","IA (RIN)","POC","0.05952380952380953","5"
"__export__.plain_result_abs_party_3001_763452bb","","IT (RIN)","PPROV","0.07142857142857142","6"
"__export__.plain_result_abs_party_3002_b958ab0e","","IT (RIN)","PSA-PA","7.261904761904763","610"
"__export__.plain_result_abs_party_3003_66d19c09","","IT (RIN)","PSOE","38.573127229488705","3254"
"__export__.plain_result_abs_party_3004_412af932","","IT (RIN)","PSOE-H","0.36904761904761907","31"
"__export__.plain_result_abs_party_3005_f9464445","","IA (RIN)","PTE","0.6904761904761905","58"
"__export__.plain_result_abs_party_3006_efa877ad","","DER (RIN)","UCD","16.357142857142858","1374"
"__export__.plain_result_abs_party_3007_c0438580","","IA (RIN)","UCE","0.2261904761904762","19"
"__export__.plain_result_abs_party_3008_d91d9a96","","DER (RIN)","UN","0.30952380952380953","26"
"__export__.plain_result_abs_party_3010_0a6fcee8","","DER (RIN)","AP-PDP","11.759543659499782","1072"
"__export__.plain_result_abs_party_3011_51d2bc63","","DER (RIN)","CDS","0.3400614304519526","31"
"__export__.plain_result_abs_party_3012_e8c6d264","","DER (RIN)","FE-I","0.04387889425186486","4"
"__export__.plain_result_abs_party_3013_b4531180","","DER (RIN)","FN","0.12066695919262835","11"
"__export__.plain_result_abs_party_3014_04158d21","","IA (RIN)","LC (COSI)","0.06581834137779728","6"
"__export__.plain_result_abs_party_3015_754e7911","","DER (RIN)","MFE","0.04387889425186486","4"
"__export__.plain_result_abs_party_3016_6ddb4081","","IA (RIN)","PCA-PCE","16.728828433523475","1525"
"__export__.plain_result_abs_party_3017_b3818518","","IA (RIN)","PCE (M-L)","0.03290917068889864","3"
"__export__.plain_result_abs_party_3018_1c2ff140","","IA (RIN)","PCOE","0.4936375603334796","45"
"__export__.plain_result_abs_party_3019_fe02cfcd","","IT (RIN)","PSA-PA","1.2615182097411146","115"
"__export__.plain_result_abs_party_3020_cf2d6495","","IT (RIN)","PSA-PSOE","67.50246359356181","6182"
"__export__.plain_result_abs_party_3021_7138db76","","IA (RIN)","PST","0.16454585344449318","15"
"__export__.plain_result_abs_party_3022_32b6175e","","DER (RIN)","SE","0.010969723562966214","1"
"__export__.plain_result_abs_party_3023_1017f6e3","","DER (RIN)","UCD","1.2505484861781484","114"
"__export__.plain_result_abs_party_3024_0c7f0908","","IA (RIN)","UCE","0.05484861781483107","5"
"__export__.plain_result_abs_party_3026_6f380327","","DER (RIN)","AP-PDP-PL","10.361575822989746","960"
"__export__.plain_result_abs_party_3027_281683a2","","IA (RIN)","AV","0.3669724770642202","34"
"__export__.plain_result_abs_party_3028_7480f20d","","DER (RIN)","CDS","2.6443604964921748","245"
"__export__.plain_result_abs_party_3029_83d88f6c","","DER (RIN)","CUN","0.053966540744738264","5"
"__export__.plain_result_abs_party_3030_c6cf2903","","DER (RIN)","FE-JONS","0.08634646519158122","8"
"__export__.plain_result_abs_party_3031_b816244c","","IA (RIN)","IU","12.336751214247167","1143"
"__export__.plain_result_abs_party_3032_e312e0a5","","IA (RIN)","MUC","6.065839179708581","562"
"__export__.plain_result_abs_party_3033_066dd379","","IT (RIN)","PA","1.9967620075553156","185"
"__export__.plain_result_abs_party_3034_838e4e3d","","IT (RIN)","POSI","0.15110631408526712","14"
"__export__.plain_result_abs_party_3035_5c081e77","","DER (RIN)","PRD","0.2914193200215866","27"
"__export__.plain_result_abs_party_3036_dcc96332","","IT (RIN)","PSOE","64.91001185472572","6037"
"__export__.plain_result_abs_party_3037_5cfd1c0e","","IA (RIN)","PSPA","0.23745277927684835","22"
"__export__.plain_result_abs_party_3038_79e864b6","","IA (RIN)","PST","0.21586616297895306","20"
"__export__.plain_result_abs_party_3039_e3e0433e","","IA (RIN)","UCE","0.021586616297895305","2"
"__export__.plain_result_abs_party_3040_cf4e0a66","","DER (RIN)","UPR","0.053966540744738264","5"
"__export__.plain_result_abs_party_3041_468a2dd6","","IA (RIN)","VERDE","0.10793308148947653","10"
"__export__.plain_result_abs_party_3043_957d2be8","","DER (RIN)","PP","7.700091065465951","761"
